Time_(s)	Delta_F/n_n=3_(Hz)	Delta_F/n_n=5_(Hz)	Delta_F/n_n=7_(Hz)	Delta_F/n_n=9_(Hz)	Delta_F/n_n=11_(Hz)	Delta_F/n_n=13_(Hz)	Delta_D_n=3_()	Delta_D_n=5_()	Delta_D_n=7_()	Delta_D_n=9_()	Delta_D_n=11_()	Delta_D_n=13_()
1088.2431230152322	0.009816555927197138	-0.08848800733685494	-0.26067565594400677	0.36923487815592027	-0.043278231539509514	2.7405026944784017	-1.7154222527106678E-8	-5.022407247086565E-8	-8.249300640133172E-8	4.124136462886716E-8	-1.7410239844943586E-7	7.40898383034424E-7
1089.1769801899864	-0.03389637296398481	-0.09997589290142059	-0.07657717913389206	0.4087110451526112	-0.14766121994365344	2.708842459779519	-6.5213010201051105E-9	-1.8364274861996108E-8	7.621912635744402E-9	1.2058914811399388E-7	-1.1252978899398071E-7	7.453059026484612E-7
1090.1107946650468	-0.036825320372978844	-0.0782799892127514	-0.18374593449490412	0.48878493077225155	-0.049735252830115234	2.711738585279538	-1.311098838454065E-8	-5.694503009510011E-8	-1.400748565349877E-7	1.008839100311628E-7	-4.262270673945491E-8	6.937182653741407E-7
1091.0445939744175	-0.014758341014385223	-0.10313011482357978	-0.20087368786334991	0.3370535837279426	-0.0647402202541178	2.633383844334346	-8.306730444392497E-9	-4.138102596777096E-8	-8.252688661902774E-8	6.933103906837923E-8	-1.5112596074532574E-8	7.56866876992665E-7
1091.9783762485417	0.011701597521702448	-0.13785631209611893	-0.1537661680153438	0.27427389472723007	0.11132243546572598	2.942737065255642	-2.9430132000813703E-8	-4.92249796414559E-8	-8.636064709934151E-8	-2.0718271064143652E-8	-2.9346332449029758E-8	7.033633644741669E-7
1092.9122007408766	-0.008959005897243818	-0.1216168962419033	-0.15437507735831396	0.29912127637200886	-0.0636152747002515	3.028110830829694	-2.467447627962178E-8	7.610429630645855E-9	-5.19253041264279E-8	-2.255131951591307E-8	-7.165690515607804E-8	6.596439917952424E-7
1093.8460151929278	0.02927236072719097	-0.24526599571108817	-0.17522980804954255	0.3933197624153561	0.0011542622338641775	2.6870692309278708	1.394094041487319E-9	-5.484274552761538E-8	-9.004465240538379E-8	1.1368396977773723E-7	-1.0292545953473743E-7	7.458537882349835E-7
1094.779857991994	-0.0057660061866045	-0.2426093637943268	-0.10678315162658691	0.3232375921474563	-0.25762496617707337	2.656152828381612	-8.799885506182792E-9	-3.559975789152589E-8	-1.1956621659291622E-7	-1.0831933990997707E-8	-1.3131344018827633E-7	8.42733918411453E-7
1095.7136794585601	-0.03881809487938881	-0.14408078491687776	-0.22786448576620646	0.31229144003656173	0.05780694091861898	2.6456178598679028	-3.005761813930233E-8	-8.299815122480387E-9	-8.702429408577353E-8	9.545199542300127E-8	-1.2359185303733547E-7	7.660177576340938E-7
1096.6475012254123	-0.024581251045068104	-0.12908243536949157	-0.20142922763313567	0.19655431475904253	-0.1442959030920809	2.559773328212591	-9.948625192239416E-9	-6.2893719050046565E-9	-8.889480286368445E-8	3.877006084931716E-8	-7.743911579947374E-8	8.432057449819699E-7
1097.5813149895093	-0.05010839862128099	-0.17936234623193742	-0.18482743203639984	0.24232417096694311	-0.0657448023557663	2.775975615932391	-2.2377971293417948E-8	3.1259049399227825E-9	-6.955792490660772E-8	1.986426364020198E-8	-3.571826057336856E-8	8.312881745099228E-7
1098.5151072252431	-0.029281384001175564	-0.14595696702599525	-0.20566942862101964	0.18091180506679747	-0.27365820042111655	2.642569886950346	-2.6891742728300545E-9	-1.5626991791675617E-8	-4.9396703291553303E-8	1.8799649186424785E-8	-7.555899287476318E-8	8.40455696086333E-7
