Time_(s)	Delta_F/n_n=1_(Hz)	Delta_F/n_n=3_(Hz)	Delta_F/n_n=5_(Hz)	Delta_F/n_n=7_(Hz)	Delta_F/n_n=9_(Hz)	Delta_F/n_n=11_(Hz)	Delta_F/n_n=13_(Hz)	Delta_D_n=1_()	Delta_D_n=3_()	Delta_D_n=5_()	Delta_D_n=7_()	Delta_D_n=9_()	Delta_D_n=11_()	Delta_D_n=13_()
784.8772323724434	34.119226874783635	32.41177844939133	31.898079703748227	31.770441701369627	31.535541436738438	30.700671554966405	30.543445646189728	-2.3778356115941005E-6	-9.206486889957869E-7	-9.054365069352175E-7	-8.65501987364165E-7	-6.820120636009367E-7	-8.782496872862419E-7	-1.1062172659448584E-6
785.8111090038226	34.219491488300264	32.41258334120115	31.866083058714867	31.844582952558994	31.60989784200986	30.805515747178685	30.697324872016907	-2.380556176122641E-6	-9.027111411075888E-7	-9.682023039402912E-7	-8.818054103950686E-7	-7.07927232456606E-7	-7.943991313563221E-7	-8.341068746642419E-7
786.7449517715365	34.17310067638755	32.391218496486545	31.911427973210813	31.70984972268343	31.484524960319202	30.653439830649983	30.656056291208817	-2.370280758356633E-6	-9.203780915564201E-7	-9.71749807771239E-7	-8.002434874480375E-7	-7.29480054744992E-7	-9.638164644083135E-7	-9.086435295090176E-7
787.6787214049504	34.25174370594323	32.47548089300593	31.908962409943342	31.649528439555848	31.589482149316204	30.963172336193647	30.568655917277702	-2.341049135537107E-6	-8.967874806959535E-7	-9.98356906769946E-7	-8.487337132168809E-7	-8.224831831817113E-7	-8.789996299700821E-7	-1.090580071542996E-6
788.6125743198792	34.212939941324294	32.4066448888431	31.888741829246282	31.72541379077094	31.460504254533184	30.741251532327045	30.65023219012297	-2.346923996133425E-6	-9.095412855607808E-7	-9.580006354752472E-7	-9.220011923266759E-7	-8.157352142968305E-7	-9.40144353582081E-7	-9.639709106948433E-7
789.5464462705067	34.20494832843542	32.44268592571219	31.886998489499092	31.6439441634076	31.570966459810734	30.914325997910716	30.450313742917317	-2.3714248168982743E-6	-8.848011715731081E-7	-9.4963271735638E-7	-8.223063749528733E-7	-7.766191048984853E-7	-8.727972779726468E-7	-9.630509048843227E-7
790.4802853302159	34.096368786878884	32.48363131533066	31.917724222689866	31.667457615690573	31.560585853954155	30.7752268537879	30.267434273201687	-2.2906545290547146E-6	-8.771419802371496E-7	-9.367877841292367E-7	-9.04331900878502E-7	-6.578827921688242E-7	-8.782780009338245E-7	-9.819413071796598E-7
791.4141008216526	34.174584289081395	32.38069400253395	31.993973004817963	31.709290593862534	31.562281338704956	30.932923984121192	30.70164072341644	-2.382104676940881E-6	-9.061964651065069E-7	-9.402152872551737E-7	-8.663167358836704E-7	-7.085969314090952E-7	-9.031914294982174E-7	-1.0266182326176468E-6
792.3478883896255	34.21617367118597	32.44713792639474	32.0132200717926	31.66220464770283	31.451725588076645	30.627358251674607	30.361265510893784	-2.3323607702901788E-6	-8.994517804404567E-7	-9.54526103131442E-7	-8.544638040061084E-7	-7.816361891033018E-7	-8.865569699343572E-7	-8.93756117888495E-7
793.2817324211982	34.265466855838895	32.47689627793928	31.906233068555593	31.611884180988586	31.502118113140266	30.833030605180696	30.58283618493722	-2.318122297165193E-6	-9.142309013087323E-7	-9.62282100382437E-7	-8.585688051809999E-7	-7.148891694737613E-7	-9.764935466135974E-7	-1.131911314623414E-6
