Time_(s)	Delta_F/n_n=1_(Hz)	Delta_D_n=1_()	Delta_F/n_n=3_(Hz)	Delta_D_n=3_()	Delta_F/n_n=5_(Hz)	Delta_D_n=5_()	Delta_F/n_n=7_(Hz)	Delta_D_n=7_()	Delta_F/n_n=9_(Hz)	Delta_D_n=9_()	Delta_F/n_n=11_(Hz)	Delta_D_n=11_()	Delta_F/n_n=13_(Hz)	Delta_D_n=13_()
312.01370973491316	4787.484198145568	5.8026471470901575E-6	649.9234980779389	-4.333501298405917E-6	259.954664991796	-6.912367959548225E-6	151.12935384362936	-6.1301027918182944E-6	108.01331213282214	-5.425251689579453E-6	86.70519374107772	-4.5284927154667286E-6	74.07745750076495	-4.347105256316972E-6
312.94779354214324	4787.878935369663	5.624627459876888E-6	650.0495393065115	-4.3562288344434295E-6	259.4659196972847	-7.170058175501255E-6	149.8192274432097	-5.832679584121217E-6	107.73383687767718	-5.0926565226797245E-6	87.3297505270351	-4.194615873173444E-6	72.24608481102266	-4.446892035627769E-6
313.8818367577757	4787.695936175063	5.670446786155427E-6	650.2715965658426	-4.5798603397992105E-6	259.385014937073	-6.551530811032213E-6	150.97349476920706	-6.426940567738179E-6	107.69438932339351	-5.313414780495169E-6	86.55617580359632	-4.743947996991622E-6	73.09288144684754	-3.6526265283102555E-6
314.8159777240724	4788.085110139102	5.4258602969618525E-6	649.897512861217	-4.7073671598290776E-6	259.78319749236107	-6.986106172095615E-6	151.40381771964687	-6.252416241655747E-6	107.78279462125566	-4.950764570643598E-6	86.65145914053375	-4.571966786873899E-6	73.97920512006833	-4.4129276388733064E-6
315.7500537482471	4787.808916944079	5.6264369429262885E-6	649.267985480527	-4.682288958821491E-6	259.2321697495878	-6.872662532197803E-6	150.38864866005522	-6.19666525880893E-6	107.93294337391853	-5.424209784080428E-6	85.92230220274492	-4.067380039821621E-6	72.38911013534435	-4.252907529736933E-6
316.6841801919907	4786.963891103864	5.405946944341293E-6	649.3019890207797	-4.6092393817721725E-6	259.1364665389061	-6.798263784873364E-6	151.37754497783524	-5.976061153371346E-6	106.69647528893418	-5.433342355815057E-6	84.03935813565145	-4.984997272876345E-6	72.61128195317892	-4.38303772952926E-6
317.6183529182642	4786.866760614328	5.6214350719383075E-6	649.1131736878306	-4.800203271772442E-6	259.5093378588557	-6.932609661792019E-6	151.229791741286	-5.950534399043703E-6	106.63511728081438	-5.495219220112143E-6	87.6070072799921	-4.1835126569906135E-6	72.10869223108658	-4.044024226287782E-6
318.5524970937934	4786.845956088044	5.5239800224180435E-6	649.248267604659	-4.606629650321265E-6	259.19290916845205	-7.24050426891229E-6	150.21856999077968	-5.989421454327356E-6	107.3190969650944	-4.599761107768554E-6	84.93808167698708	-3.85851388947606E-6	73.89076026987571	-4.010339726174964E-6
319.48661638593313	4786.373459793627	5.492046501228277E-6	649.1674847826362	-4.644336231441145E-6	259.15825175866485	-7.146674795738197E-6	149.76697653638465	-6.290199813238203E-6	106.51804086317618	-5.410003498765694E-6	85.55519645728849	-4.240988490816612E-6	72.00772638160448	-4.921429047612531E-6
320.420686576243	4786.127512591891	5.241477590395738E-6	648.8874328260621	-4.507552089236716E-6	258.42964122518896	-7.257637827260235E-6	150.56606272075857	-5.869329222751878E-6	107.12771382100053	-5.0384065906241535E-6	86.31501431424509	-4.539121053061433E-6	72.44194517456569	-4.227914293923691E-6
321.3547564848617	4785.348304785788	5.3607510289441565E-6	648.456800022473	-4.380366598993684E-6	258.28225908875464	-7.010234351518852E-6	150.16867002312625	-5.906736057107904E-6	105.38584202445216	-5.059219521766779E-6	84.92505312643267	-4.81401304993552E-6	70.17673041384954	-2.7508503170817873E-6
322.2889008265687	4785.836979996413	5.375136136317993E-6	648.4763267350694	-4.5783829314696375E-6	258.0630114659667	-7.140787874497159E-6	150.12603376805782	-5.895397033328398E-6	105.99626213394933	-5.19836213057058E-6	83.83523311398245	-4.449759583900699E-6	71.56670162081718	-3.351858458941522E-6
323.2230537935448	4784.953752898611	5.517848225954395E-6	648.2621776529899	-4.520065358842949E-6	258.5022970549762	-7.051966741123268E-6	148.72975655538696	-6.530956406026987E-6	106.06316000719865	-5.408391327873155E-6	85.33223772861741	-4.513942260311838E-6	71.62703080589955	-4.327726077846814E-6
324.157125785822	4785.438397892751	5.382716660315846E-6	648.0536324226608	-4.6457064133495355E-6	257.50857653841376	-7.23239500344914E-6	148.26934446288007	-6.411742038339184E-6	104.8855547664894	-5.6891581214656205E-6	85.38456626846032	-4.555585611533847E-6	72.71573841743745	-4.382311152226082E-6
325.09123146032647	4785.152005445212	5.457225625986643E-6	647.4467757294575	-4.602521140937974E-6	257.6662538357079	-7.021115966505075E-6	148.94515622513634	-6.175801873242341E-6	105.48639296574726	-5.017465883997582E-6	84.25899281352758	-4.200317358949687E-6	71.8065322001393	-3.261602176511964E-6
326.0253266861373	4783.930116547272	5.361765274762781E-6	647.5664199981838	-4.688458392376689E-6	257.35164543315767	-6.979534248154886E-6	148.60903784206934	-6.0460095221883655E-6	105.47491428504388	-5.5696735502873765E-6	83.97164443067528	-4.717279477088189E-6	72.29277992477783	-3.716898294287238E-6
326.95936559294995	4784.008208159357	5.400511648855197E-6	647.0086165536195	-4.6006125902144795E-6	257.25665405541656	-6.928301099883591E-6	148.61205531230993	-6.138704900260369E-6	104.6653183086051	-5.227560587674069E-6	82.69161358543418	-4.068336995954704E-6	69.61353391638168	-4.998239357251598E-6
327.8934127501179	4783.381238125265	5.458478056935578E-6	646.7818632330745	-4.699921434551859E-6	256.6591414004564	-7.217193896045957E-6	147.65379424393177	-6.412474928765388E-6	103.70463690410058	-5.261238462443398E-6	83.35976666279815	-4.267177110259786E-6	70.11190825356887	-3.921390471444341E-6
328.82754196666906	4782.72345243115	5.444034702912701E-6	646.6628165654838	-4.500317609197678E-6	256.3686318360269	-7.114115571466852E-6	147.51992178708315	-6.147645595209447E-6	102.61478231681718	-5.596127489172924E-6	82.35653158819133	-4.454636715669645E-6	69.23651372641325	-4.1968540040744195E-6
