Time_(s)	Delta_F/n_n=3_(Hz)	Delta_F/n_n=5_(Hz)	Delta_F/n_n=7_(Hz)	Delta_F/n_n=9_(Hz)	Delta_F/n_n=11_(Hz)	Delta_F/n_n=13_(Hz)	Delta_D_n=3_()	Delta_D_n=5_()	Delta_D_n=7_()	Delta_D_n=9_()	Delta_D_n=11_()	Delta_D_n=13_()
601.0060695806577	0.40111016233762103	0.4745165713131428	0.21495452842542104	0.2603016114897198	0.8987777964635328	0.05009240026657398	-1.1063141061354287E-7	-7.437490469913602E-8	2.0714835881504006E-8	2.49026159596967E-7	-1.0461443895103746E-7	1.0926993809866998E-7
601.9397440473863	0.4240627381950617	0.4065662704408169	0.135862369622503	0.1914699888891644	0.8414256247607145	0.10869311254758102	-1.1901288433794135E-7	-7.781585086130802E-8	9.506389408994796E-9	1.2788643398566968E-7	-3.743167605412792E-8	7.43908033880769E-9
602.8734107475104	0.3766109061737855	0.455717583745718	0.19348708114453725	0.17591335541672176	0.8125689856030724	0.12287817264978702	-9.340631157086924E-8	-6.364115483589077E-8	-5.316828423045767E-9	1.9440296770505377E-7	5.1266531540100895E-8	-3.6003636735089297E-10
603.8071268212616	0.39495550530652207	0.4890506066381931	0.17495752019541605	0.16900319357713064	1.0975800088860772	0.07780853429665932	-1.202245213867176E-7	-1.0815561432315091E-7	3.220165830331251E-8	1.7168808569151543E-7	-4.318769210133531E-9	5.526011621342507E-9
604.7408164292393	0.44099865667521954	0.4031231440603733	-0.02289487953696932	0.18119560844368404	0.7617351087656888	0.1383892922447278	-1.21202175957407E-7	-4.955365976415252E-8	4.9366138193520444E-8	1.5826705383054085E-7	8.744975138827308E-8	-2.2636293003171128E-8
605.6745693882518	0.38427992165088654	0.40408678650856017	0.11958532567535128	0.15714936869011986	0.8500213297930631	0.28523500722188216	-1.1183499261813862E-7	-7.318753487487437E-8	5.7696184882992906E-8	1.5390541189749807E-7	1.085438887787882E-8	2.3448488252066188E-8
606.6082884884886	0.41208679663638276	0.3487764909863472	0.11427253165415355	0.17524765349096721	0.8610449128530242	0.2674988519686919	-1.2008977582939496E-7	-8.867437066906506E-8	6.540714657339358E-8	2.0042440079389118E-7	2.955793075915176E-9	1.2915062184953158E-7
607.5420813917924	0.39043271106978256	0.4261826515197754	0.10119683082614626	0.23662797858317694	0.8870080275969072	0.11006086262372825	-9.527379539811531E-8	-3.8095923009365045E-8	3.372489517013968E-8	1.1901730665949978E-7	-4.826169538451621E-8	1.0452129513311575E-7
608.4758121845515	0.43371740231911343	0.3994393303990364	0.16729714082820074	0.10318493760294384	0.8281373191963542	0.276411992426102	-5.0425897039885724E-8	-6.747222335137587E-8	2.946007816589534E-8	1.8192475395989438E-7	-1.8416088314748575E-8	9.693358515713228E-8
609.4095306950595	0.42193988027671975	0.38436818271875384	0.1754009478858539	0.25212905142042374	0.8487946621396325	0.1950057286482591	-1.1519452703694284E-7	-5.347635126493229E-8	-9.588867583282387E-9	2.1205609440989642E-7	-3.8732157890320374E-8	4.5487764734137757E-8
610.343202145436	0.43651727959513664	0.41054200902581217	0.08393538423946925	0.1655922681093216	0.7824183573777025	0.07055675754180321	-8.991847331050128E-8	-8.8895183195342E-8	2.7926702295485604E-8	2.346658099268027E-7	-5.16584490976987E-10	3.481647418123997E-8
611.2769261455322	0.40563669490317505	0.3378198489546776	0.13118848949670792	0.21397584428389868	0.6925465593283827	0.24717295571015432	-1.367186845619491E-7	-1.0174816421809662E-7	3.49908794752932E-8	2.0866668230664568E-7	7.076900407411457E-8	-7.867400032742769E-9
612.2106299780389	0.39651316528518993	0.3151116855442524	0.08208380213805608	0.0783119946718216	0.8123853321779858	0.03691388666629791	-1.0826447993059771E-7	-3.7701216831900536E-8	6.530618061434369E-8	1.9840231476715372E-7	-5.9273967267363956E-8	6.830141963567028E-8
613.1443312024851	0.3698400060335795	0.23113165125250817	0.2604270013315337	0.19283087220456865	0.6175650161775675	0.2856333485016456	-1.2712580987398717E-7	-7.913582812481344E-8	5.97606618067296E-8	1.9134676705563408E-7	4.5518446893086156E-8	1.4664535391148632E-7
