Time_(s)	Delta_F/n_n=3_(Hz)	Delta_F/n_n=5_(Hz)	Delta_F/n_n=7_(Hz)	Delta_F/n_n=9_(Hz)	Delta_F/n_n=11_(Hz)	Delta_F/n_n=13_(Hz)	Delta_D_n=3_()	Delta_D_n=5_()	Delta_D_n=7_()	Delta_D_n=9_()	Delta_D_n=11_()	Delta_D_n=13_()
1087.8720364326755	-514.6434502614042	-172.49005347117782	-79.71801177944455	-40.727328055434754	-23.095834977924824	-14.977252887991758	-1.705216195551661E-5	-5.911059436955999E-6	-2.9441994478750087E-6	-3.0311994062125354E-6	-3.897666082891961E-6	-2.9963242924634033E-6
1088.8058256992633	-514.799446904411	-172.57515880465508	-79.56134243415934	-40.71906549483538	-23.018734497102823	-14.6311154669294	-1.704541005626616E-5	-5.985347414372841E-6	-2.9667869841881153E-6	-2.9811179938226025E-6	-3.893815666682361E-6	-2.829348321350234E-6
1089.7396491070326	-514.7074837970237	-172.52110778018832	-79.60411192051002	-40.83519164224466	-23.342317499897696	-14.837220339820934	-1.7073090988066464E-5	-5.921668852088718E-6	-3.0288826640934935E-6	-3.1330223576482292E-6	-3.8379776279981925E-6	-3.1103382500846687E-6
1090.673513215953	-514.7326184151074	-172.47013254240156	-79.71193823111909	-40.79129924045669	-23.276881354776297	-14.97610334192331	-1.705643379917759E-5	-5.9365110478840565E-6	-2.8958513383508817E-6	-3.054907787062089E-6	-3.813536715734328E-6	-2.8904789860686845E-6
1091.6073598996936	-514.7122849629571	-172.48706349879504	-79.6846624314785	-40.73021479447683	-23.17947583781047	-15.075658230827404	-1.7070278327084766E-5	-5.926224737291098E-6	-2.9723824755770867E-6	-3.1226642435030577E-6	-3.871507341207596E-6	-2.9487499073062144E-6
1092.5411873412622	-514.7847932390869	-172.54240448698403	-79.57688959049327	-40.67106197691626	-23.17450042746284	-14.773109980500662	-1.707536155163498E-5	-5.927680199101741E-6	-3.0140730691363487E-6	-3.019298463401515E-6	-3.905923499536036E-6	-3.0413175589321263E-6
1093.4750323833694	-514.740177343289	-172.40409266650676	-79.65123921419892	-40.666641521784996	-23.071160779757932	-14.753403124327843	-1.7088063167434103E-5	-5.90655578711492E-6	-2.9707024795397417E-6	-3.0924028446627965E-6	-3.8033651391140036E-6	-2.9780261466108343E-6
1094.4088799418657	-514.6907708396515	-172.49855220988394	-79.68066960998944	-40.80724847730663	-23.044801470230926	-14.683748154112926	-1.7045095199810664E-5	-5.904585147674011E-6	-2.9598516887073084E-6	-2.996331361788333E-6	-3.815247913825404E-6	-3.0963220691791456E-6
1095.342737385316	-514.6202110890299	-172.47781372368337	-79.68500167024987	-40.81439796504047	-23.13345427472483	-14.738381600723816	-1.705242607028269E-5	-5.9169224596744986E-6	-2.9566245272935582E-6	-3.019476489160309E-6	-3.893266275586539E-6	-2.9584233283172463E-6
1096.2765756857807	-514.7129093315452	-172.4560382425785	-79.45105347463063	-40.643055049081646	-23.195202914828602	-14.95477179151315	-1.7066056146633772E-5	-5.91334926562442E-6	-2.9602397828361093E-6	-3.164537867934801E-6	-3.788250466596341E-6	-3.037424465146088E-6
1097.2104110438052	-514.7097813735405	-172.43916950672866	-79.46285241629396	-40.803166802558636	-23.120753136548128	-14.76253558580692	-1.7095446820275154E-5	-5.898602982010897E-6	-3.0284718402763083E-6	-3.117257667407502E-6	-3.855847680183638E-6	-2.9563488705506565E-6
1098.144252777144	-514.8112300336361	-172.41428170502186	-79.51217055959361	-40.67266652236382	-23.08831611140208	-14.841306022726572	-1.7050227517168172E-5	-5.9621007455093824E-6	-2.9406906265725275E-6	-3.058212860345761E-6	-3.789657736268581E-6	-2.9168247502122275E-6
