Time_(s)	Delta_F/n_n=1_(Hz)	Delta_D_n=1_()	Delta_F/n_n=3_(Hz)	Delta_D_n=3_()	Delta_F/n_n=5_(Hz)	Delta_D_n=5_()	Delta_F/n_n=7_(Hz)	Delta_D_n=7_()	Delta_F/n_n=9_(Hz)	Delta_D_n=9_()	Delta_F/n_n=11_(Hz)	Delta_D_n=11_()	Delta_F/n_n=13_(Hz)	Delta_D_n=13_()
128.00089025390514	819.8765619285405	-3.2757886553163847E-4	497.42288533970714	-1.664909762197688E-4	403.99908786714076	-1.3224120491251386E-4	355.65688361440385	-1.0967373422795612E-4	325.98457667728263	-9.797401556585964E-5	310.87131570347333	-8.790934313685488E-5	297.73648408341865	-8.634922986495317E-5
128.93468776250242	819.8795837555081	-3.2758844229283026E-4	497.3630152394374	-1.6648869192002262E-4	403.9424446232617	-1.322402886053985E-4	355.59701422282626	-1.0967377812899149E-4	325.9281431295806	-9.797113750147017E-5	310.8135853775523	-8.79096040147857E-5	297.6822441306252	-8.634821779404169E-5
129.86852166998742	819.7449578996748	-3.276365820801483E-4	497.30785228994984	-1.6648690527775047E-4	403.8895755596459	-1.322397687781816E-4	355.54746076783965	-1.0967513968978198E-4	325.8788481677572	-9.797008548594645E-5	310.76024820655584	-8.790865263357168E-5	297.62724677473307	-8.634831058352755E-5
130.80236411261941	819.6273375749588	-3.2759746847862666E-4	497.2494915239513	-1.664860339941013E-4	403.83380076810715	-1.322389751323181E-4	355.49372207586254	-1.0967597959005482E-4	325.82062226616677	-9.796900693412832E-5	310.70083234730095	-8.790718071595117E-5	297.5641530780838	-8.634655574147815E-5
131.73622188985712	819.6793666779995	-3.276033209273286E-4	497.1905778795481	-1.664834326871306E-4	403.77296344190836	-1.322388662802333E-4	355.4346808088677	-1.0967562708766776E-4	325.7589673805568	-9.796787107152098E-5	310.6360693641684	-8.790713610650662E-5	297.5038489321104	-8.634727079834498E-5
132.67007434928806	819.4950768388808	-3.276687233349036E-4	497.1306463132302	-1.6648227717540806E-4	403.7109403833747	-1.3223675980340141E-4	355.42354964677776	-1.0967779748461985E-4	325.70359489404495	-9.797139287196422E-5	310.6360693641684	-8.790713610650662E-5	297.42921118438244	-8.634465569827771E-5
133.60391827226064	819.2780456794426	-3.2771488131417425E-4	497.0583713874221	-1.6648428775484857E-4	403.649254373461	-1.3223487450566703E-4	355.3316466882825	-1.0967840714961992E-4	325.64938239339324	-9.796339532628925E-5	310.5194258446043	-8.790622811833617E-5	297.3997263604632	-8.634573008462226E-5
134.53779339003975	819.2800816399977	-3.277023491438129E-4	497.0161831012617	-1.6647892743093211E-4	403.60405211374166	-1.322355555242005E-4	355.2745683012264	-1.0968098206263444E-4	325.5950352913803	-9.796388603347505E-5	310.4599897238341	-8.7905228602022E-5	297.3348096385598	-8.63464071950998E-5
135.47158749092003	819.3887058030814	-3.27678018784742E-4	496.95509801246226	-1.6647843227109247E-4	403.5433024786413	-1.3223588365536432E-4	355.2122688325388	-1.0968176851710021E-4	325.5325292216407	-9.796172616558394E-5	310.4062688357451	-8.790651148194365E-5	297.2754388176478	-8.634525672793317E-5
136.40540278137067	819.4047134919092	-3.276624598311651E-4	496.89875440485775	-1.6647765962613981E-4	403.48206413015726	-1.3223706883890794E-4	355.1560099092977	-1.0968154542566047E-4	325.46595112813844	-9.795967120395903E-5	310.34692273288965	-8.790539724075538E-5	297.2063354139145	-8.634611626582458E-5
137.3392254570756	819.3178988602012	-3.2770430344000766E-4	496.83471227809787	-1.6647304311268827E-4	403.42671231850983	-1.32235197839018E-4	355.1037617155484	-1.0968185478481904E-4	325.41077135751647	-9.79576583383785E-5	310.29057696868074	-8.79034666391018E-5	297.1586895900277	-8.634615734886616E-5
138.2730993989738	819.1817532712594	-3.277087588376486E-4	496.7740197895716	-1.6647280541112245E-4	403.36258970946074	-1.322330008821733E-4	355.0359922157867	-1.0968350155987382E-4	325.34765888750553	-9.795772354152224E-5	310.2162769274278	-8.790446319083025E-5	297.0899639805922	-8.634380649856792E-5
139.20691279030163	819.2084653293714	-3.276698416083141E-4	496.7098768558353	-1.6647116524230135E-4	403.30577635616066	-1.3223387941360183E-4	354.98591055082426	-1.0968407515832125E-4	325.2862509878145	-9.795495925098049E-5	310.1625766049732	-8.790327497277074E-5	297.0284943918769	-8.634308065927164E-5
140.14078992533985	818.9595269365236	-3.27755940800698E-4	496.65205009654164	-1.6646784100240037E-4	403.246636556834	-1.3223297391277432E-4	354.9257858076266	-1.0968484619121568E-4	325.2280651272999	-9.795323965402398E-5	310.1023911305449	-8.790314957532165E-5	296.96261943590184	-8.634336297785662E-5
141.07462671816594	818.84170874767	-3.2770006611122874E-4	496.59528094840545	-1.664674382164948E-4	403.1846409641206	-1.3223297908032268E-4	354.8672028928995	-1.0968494076892374E-4	325.16041006644565	-9.795075541240886E-5	310.0358515490185	-8.790280417204104E-5	296.9110071916993	-8.634796326605346E-5
142.00842939496295	818.4430699888617	-3.2786098203953435E-4	496.53171629458666	-1.6646500475847972E-4	403.11984323114154	-1.322322069385838E-4	354.79979777761866	-1.096859695224186E-4	325.10405926323597	-9.794967386309214E-5	309.9724270606583	-8.790242033656669E-5	296.8459735610164	-8.634591425381465E-5
142.94234780276057	818.423372794874	-3.2781856594350426E-4	496.45054406983155	-1.6646175685571102E-4	403.06449209600686	-1.32231193544751E-4	354.7408005212034	-1.0968712455265028E-4	325.03867985390957	-9.79486202207967E-5	309.9051808322018	-8.790188493200392E-5	296.7842120396403	-8.634581181111327E-5
143.87620015299598	818.0348802618682	-3.27909189125921E-4	496.3886140572528	-1.6646141173539422E-4	403.0039956025779	-1.322309776882972E-4	354.6950908697077	-1.0968798944331588E-4	324.9864098785652	-9.794786695913582E-5	309.846928649328	-8.789961236080981E-5	296.71799042935555	-8.634380440363114E-5
144.81008149421507	817.9897849960253	-3.2789968142243604E-4	496.3439666641255	-1.664576221358333E-4	402.9442510806024	-1.3223179219358074E-4	354.6348094429289	-1.0968903266967389E-4	324.92712204323874	-9.794580931127251E-5	309.7980183579705	-8.7900566410819E-5	296.6611699456206	-8.634607616159193E-5
145.74392873466292	817.9364241603762	-3.2791793763902924E-4	496.26097907622653	-1.6645551929316354E-4	402.87683186382054	-1.3223121232976663E-4	354.5588099828788	-1.0968725730963097E-4	324.84681913422213	-9.79422551339863E-5	309.70296315171504	-8.790129434756559E-5	296.58449865992253	-8.634579217889136E-5
146.6777963360574	814.3607951002195	-3.2851624551221646E-4	496.26097907622653	-1.6645551929316354E-4	402.87683186382054	-1.3223121232976663E-4	354.5588099828788	-1.0968725730963097E-4	324.84681913422213	-9.79422551339863E-5	309.70296315171504	-8.790129434756559E-5	286.916563535539	-8.62964633805082E-5
147.61201701939362	810.1397060481831	-3.2787743595133267E-4	488.0195431628575	-1.6643749817504456E-4	395.0092525355518	-1.3215955790251162E-4	347.32709366083145	-1.096666317596828E-4	318.2674921353658	-9.792715861463232E-5	304.22204243730414	-8.783370893673893E-5	292.10566322276225	-8.627924817323513E-5
148.54609711015485	814.6907472880557	-3.2780637671150556E-4	493.53716519474983	-1.663970697754542E-4	400.775101480633	-1.3217228866509495E-4	347.32709366083145	-1.096666317596828E-4	323.700578963591	-9.79429317348704E-5	308.9156444221735	-8.791464204480252E-5	296.13265870626157	-8.633768980845987E-5
149.48029041886605	817.4099097885191	-3.279360130072739E-4	496.10056679757935	-1.664272182171213E-4	402.9966504968703	-1.3220493717142767E-4	354.8560540739979	-1.0968530866634113E-4	325.35639077921707	-9.794501655307259E-5	310.36396498368543	-8.78982820004481E-5	297.3691315089281	-8.634392197329775E-5
150.41451941979196	818.3203166164458	-3.279108114529228E-4	497.04122116044164	-1.664412290123116E-4	403.74759098663924	-1.322165788005446E-4	355.48098396190574	-1.0969158330831271E-4	325.79585795601207	-9.79457706857967E-5	310.7123597291383	-8.790536344605108E-5	297.59541960289846	-8.63468719082709E-5
151.34855562699104	818.648067467846	-3.2791486238223865E-4	497.12234682776034	-1.6644226708670384E-4	403.8094005435705	-1.322191158734968E-4	355.5106374759759	-1.0969085169104792E-4	325.8162742944227	-9.794712932132774E-5	310.7078556242314	-8.790727849183776E-5	297.5815146743105	-8.634674054505542E-5
