Time_(s)	Delta_F/n_n=1_(Hz)	Delta_F/n_n=3_(Hz)	Delta_F/n_n=5_(Hz)	Delta_F/n_n=7_(Hz)	Delta_F/n_n=9_(Hz)	Delta_F/n_n=11_(Hz)	Delta_F/n_n=13_(Hz)	Delta_D_n=1_()	Delta_D_n=3_()	Delta_D_n=5_()	Delta_D_n=7_()	Delta_D_n=9_()	Delta_D_n=11_()	Delta_D_n=13_()
252.7287799456058	43.11923304013908	58.83518224147459	49.7297341927886	44.20617239815848	39.53744007067548	37.28040290420706	35.63501378148794	-4.338830643243628E-5	-1.5051365266314457E-5	-1.2945797072497E-5	-1.0917746382548178E-5	-1.019065160631938E-5	-9.269670698682094E-6	-8.920968488434526E-6
253.66257216202587	38.163101938553154	52.23326961571971	43.74779257774353	38.33169698076589	34.948575074474014	32.51549762555144	31.5429744004057	-4.352784699217157E-5	-1.4482071249485981E-5	-1.2789546964226816E-5	-1.0712932472090443E-5	-1.0047858437683358E-5	-9.148115781400798E-6	-8.570282264182752E-6
254.5964680768186	35.79372068028897	49.46593242883682	40.60168558359146	35.630130105784964	31.922476065655548	29.899762942709707	31.5429744004057	-4.3223352778935244E-5	-1.4621834526386832E-5	-1.2605069422776642E-5	-1.0606235985466479E-5	-9.905045474173263E-6	-9.000358907332933E-6	-8.570282264182752E-6
255.53028846728154	33.42449437081814	47.08895330441495	38.478041590750216	33.36480677447149	29.843352590998013	28.237959029999647	26.968199731638798	-4.2982105121531166E-5	-1.4440277964173899E-5	-1.2512577086675326E-5	-1.05590284710904E-5	-9.73120874872598E-6	-8.811877603425336E-6	-8.39798754690533E-6
256.46406734847324	31.814523996785283	45.35862396905819	36.92653151974082	31.548743996237004	28.31193902923001	26.598655935715545	25.471505402372433	-4.280927193455223E-5	-1.4295768367343843E-5	-1.2402438460292061E-5	-1.0488367164557518E-5	-9.65852596974132E-6	-8.78558956681585E-6	-8.61373750815739E-6
257.39797066556736	30.573954490944743	44.10263377614319	35.49378128275275	30.429805952523434	27.568463855319553	25.691876278682187	24.503810276205723	-4.261250983747679E-5	-1.4214474813843946E-5	-1.2343371096704554E-5	-1.0400599181158013E-5	-9.654463850027615E-6	-8.703968533346068E-6	-8.405757593039516E-6
258.33189277445615	28.92366897687316	43.13001958280802	34.57190799042583	29.651392966508865	26.81130752215783	24.720164577392016	23.88780432022535	-4.260469701166341E-5	-1.4117339563628884E-5	-1.2241352461724351E-5	-1.0359735361826933E-5	-9.669436075372364E-6	-8.692826534768922E-6	-8.407476458499868E-6
259.26577304207643	28.26338841021061	42.40805287472904	33.88334812894463	28.87265581637621	26.09817010247045	24.161165781996466	22.734329045392	-4.2510381528555925E-5	-1.4019500177613346E-5	-1.2231964585937598E-5	-1.0250881750763799E-5	-9.582965815528116E-6	-8.651878711181111E-6	-8.536459131061255E-6
260.1995990178518	27.625252173282206	41.82619007180134	33.34750208184123	28.330271034368447	25.667515539460712	23.772971744564448	22.73534777473945	-4.235971649732079E-5	-1.3968038926286998E-5	-1.2136110366076162E-5	-1.0247259938193148E-5	-9.581093584135032E-6	-8.712063081314797E-6	-8.462833439579627E-6
261.1334582499199	27.260031196288764	41.43095617989699	32.918808698654175	27.97969562453883	25.227115681601894	23.258835540576413	22.397287184229263	-4.22679233720029E-5	-1.3919524859995567E-5	-1.2063874747612137E-5	-1.0236717385080473E-5	-9.536398242914311E-6	-8.509054140085423E-6	-8.304036431398433E-6
262.067315400355	27.067054950632155	41.017269322027765	32.60859612748027	27.638128496706486	24.892401115761864	22.943074080077086	22.2138163286906	-4.218410035325198E-5	-1.3872870888209101E-5	-1.2027990838063465E-5	-1.0271492220235081E-5	-9.470725939273513E-6	-8.73033167157873E-6	-8.200333624228798E-6
263.00117295192956	26.856966474093497	40.78265073274573	32.366764180362225	27.375015468469687	24.711363336278332	22.90765833312815	21.94204067840026	-4.2105649059495404E-5	-1.3828395621885177E-5	-1.197731979851781E-5	-1.0193704594243033E-5	-9.455504834026874E-6	-8.543651584197326E-6	-8.317373402021077E-6
263.93500568627616	26.629905216395855	40.64743185353776	32.23035055398941	27.23281374893018	24.7304864095317	22.563832278278742	21.58809731212946	-4.205247015732355E-5	-1.377834843590116E-5	-1.1949107840477627E-5	-1.0227249818256761E-5	-9.470259674068261E-6	-8.464526695684427E-6	-8.351684516366741E-6
264.86878951870744	26.623273533768952	40.55551922942201	32.07552246376872	27.098242729902267	24.44517720904615	22.497792411934245	21.622315669862125	-4.20365352254826E-5	-1.3715460705725576E-5	-1.1935758523040927E-5	-1.018180829924022E-5	-9.42290256072686E-6	-8.425374881769522E-6	-8.326512269108712E-6
265.80259586083235	26.376609939150512	40.476253834863506	31.994494891911746	27.092963132475102	24.35423361013333	22.27010104263371	21.385967216239525	-4.19677837710471E-5	-1.3687508825244166E-5	-1.1860951670613772E-5	-1.0152563193276744E-5	-9.37590815912105E-6	-8.55557639076376E-6	-8.22177112598498E-6
266.7364224297938	26.502734823152423	40.403771413490176	31.928475876897572	27.090544870921544	24.22771266599496	22.425745773721825	21.272779161540363	-4.1863576826154335E-5	-1.3665926346114073E-5	-1.1866517895576899E-5	-1.0099228345187891E-5	-9.34434490487793E-6	-8.479885054458105E-6	-8.197659804897624E-6
267.67026072108143	26.37616430874914	40.38347781077027	31.81431615576148	27.153243569391115	24.251546147796844	22.309891075573184	21.398453457997395	-4.182570168361383E-5	-1.3595420909905787E-5	-1.187340411522891E-5	-1.007303002958198E-5	-9.380825564210223E-6	-8.54610511871138E-6	-8.140941510335935E-6
268.60417242228414	26.4238150017336	40.28865390022596	31.877494430541994	26.891334838100843	24.146303469936054	22.377504510635678	21.36230683670594	-4.180561194844581E-5	-1.3608267331252318E-5	-1.1802642866916594E-5	-1.0105446891884635E-5	-9.314875414076636E-6	-8.508943441450621E-6	-8.15918473705748E-6
269.53803469788465	26.465618568472564	40.34451603330672	31.85411032512784	26.96074586680957	24.185440877245533	22.22102769057859	21.416799165308475	-4.17174507820073E-5	-1.3566298234631393E-5	-1.1793584465169039E-5	-1.0075067440697098E-5	-9.312741684068947E-6	-8.469131716035407E-6	-8.30414068922437E-6
270.4718463977521	26.497607740573585	40.33670939132571	31.8735231526196	27.055682146123477	24.34116892930534	22.404700586064294	21.306745295341198	-4.168721472010573E-5	-1.3507338242125692E-5	-1.1778857855840232E-5	-1.0074013926460339E-5	-9.337139339909872E-6	-8.431316822925887E-6	-8.13673898233285E-6
271.40568437838044	26.588777444325387	40.33379802418252	31.80663547962904	26.9530221670866	24.206277321610187	22.324168455871668	21.49706732424406	-4.1653966973310454E-5	-1.3514184280825849E-5	-1.179298024389926E-5	-1.0082689147525358E-5	-9.233309782483273E-6	-8.435086151598886E-6	-8.092733476950973E-6
272.3395607776597	26.571977950632572	40.35818396384517	31.88980972021818	27.007177444440977	24.42903971258137	22.303171904249623	21.554497191539177	-4.160287802042504E-5	-1.3468807389773813E-5	-1.1736267758053913E-5	-1.0070807719912998E-5	-9.278401329842136E-6	-8.390497633498312E-6	-8.292154374212274E-6
273.273369603152	26.63072215206921	40.46524936705828	31.928331024944782	27.03369800746441	24.294841243161095	22.36209188604897	21.575977589075382	-4.154026452846994E-5	-1.3468042472653446E-5	-1.1724597382898694E-5	-1.0034603413015808E-5	-9.28112942115437E-6	-8.40920594063467E-6	-8.183309272481065E-6
274.2072065879051	26.649802558124065	40.50390908370415	32.019087980687615	27.210661397448607	24.436937601202064	22.540125838057563	21.84995276824786	-4.15549818731259E-5	-1.3449546805613361E-5	-1.1718655081721451E-5	-1.0019154226033203E-5	-9.279283522439701E-6	-8.45702129835558E-6	-8.123473369428321E-6
275.14103057753533	26.80096275359392	40.54393153140942	32.063799837976696	27.141080441219465	24.40906750328011	22.63486057790843	21.893075479910923	-4.1497718407724354E-5	-1.3404218083128984E-5	-1.169948984688091E-5	-9.994539734556554E-6	-9.23887467605047E-6	-8.355634002045142E-6	-8.116686023911142E-6
